vocab,Freq
봐야지,117
댕댕이,117
마야,117
아이돌끼리,116
수정,116
애니메이션,116
예전,116
이토,116
사랑하고,116
우은정,116
별로임,116
시작하고,116
마리미때,116
소녀의,116
아시발,116
공앱,116
있어야,116
글은,116
멘탈,116
받은,116
보구싶다,116
생긴,115
할로윈,115
우라라,115
너심잠,115
여고생의,115
업데이트,115
불타는,115
카페,115
돌리는,115
트릭,115
후구,115
레섹이,115
만들었다,115
아이디,115
위크로스,115
필요하다,115
농프,115
로리,115
맞냐,115
리코,115
밝은,115
괜찮을까나,115
힘들어,115
쓰레기가타,114
예전엔,114
안올라가네,114
앗코,114
우는,114
잘못,114
라이벌,114
아닙니다,114
평생,114
유료분,114
아니네,114
페이트,114
재등장,114
노조미와,114
않을래,114
백합아냐,114
망갤이,114
바나나,113
세일러문,113
있던,113
필요한,113
좋았음,113
좋은게,113
ips가,113
틀딱,113
넘치는,113
보구가,113
카스사야,113
작가님들,113
이름은,113
츄라이,113
어디가,113
문신녀,113
스포주의,113
보네,113
분기,113
하지마라,113
마도카,113
애인,112
e북,112
보빔충놈들,112
중국,112
걸파피코,112
짤을,112
키스하는거,112
정확히,112
유키나랑,112
총수는,112
휴재,112
쿠즈시로,112
이번달,112
어둠의,112
가진,112
있었어,112
꿀팁,112
아침을,112
캐릭터들이,112
렬루,112
하는건,112
문득,112
목줄,112
새끼,111
마리아,111
2개,111
여아,111
카카오,111
미친거,111
마히루,111
언니와,111
이상성욕,111
리디에,111
엄청난,111
새해,110
엘사,110
이야,110
완결이네,110
스타듀밸리,110
청초한,110
동방은,110
이런것도,110
사요랑,110
만화나,110
백합제,110
시리즈는,110
되나,110
못한,110
들으면,110
검색하면,109
프리파라,109
아나,109
게임은,109
8권,109
예상,109
칸코레,109
인연,109
좋고,109
우미마키,109
머리가,109
산란플,109
유명한,109
보는사람,109
있다는,109
올라올때까지,109
안하고,109
좋다고,109
리미,109
불쌍한,109
세상,108
기념으로,108
있고,108
읽은,108
진자,108
아가씨가,108
할때,108
카나후미,108
와타나레,108
백갤하는거,108
메이는,108
여아쟝들의,108
교복,108
설정이,108
마지막으로,108
난입,108
두개,108
든다,108
기원글,108
떳다,108
히나랑,108
모녀,108
먹음,108
뭐시기,108
봐서,108
직접,107
천사,107
나한테,107
연재하는,107
만약에,107
악마의,107
갔는데,107
어떤게,107
백합일까,107
남동생,107
백합이나,107
되네,107
망갤인,107
민트,107
좀랜사,107
안에,106
디즈니,106
대단하다,106
쇼바이락,106
누군지,106
마이나,106
kda는,106
어렸을때,106
이대로,106
미쿠미,106
레즈와,106
스토리도,106
그란벨름,106
아이폰,106
찐백임,106
나라,106
때까지,106
동안,106
루트,106
장래적으로,106
말투,106
